name,type,hp,attack,image_url
Bulbasaur,Grass/Poison,45,49,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png
Ivysaur,Grass/Poison,60,62,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png
Venusaur,Grass/Poison,80,82,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png
Venusaur Mega Venusaur,Grass/Poison,80,100,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png
Charmander,Fire,39,52,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png
Charmeleon,Fire,58,64,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png
Charizard,Fire/Flying,78,84,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png
Charizard Mega Charizard X,Fire/Dragon,78,130,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png
Charizard Mega Charizard Y,Fire/Flying,78,104,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png
Squirtle,Water,44,48,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png
Wartortle,Water,59,63,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png
Blastoise,Water,79,83,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png
Blastoise Mega Blastoise,Water,79,103,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise-mega.png
Caterpie,Bug,45,30,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png
Metapod,Bug,50,20,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png
Butterfree,Bug/Flying,60,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png
Weedle,Bug/Poison,40,35,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/weedle.png
Kakuna,Bug/Poison,45,25,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/kakuna.png
Beedrill,Bug/Poison,65,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill.png
Beedrill Mega Beedrill,Bug/Poison,65,150,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill-mega.png
Pidgey,Normal/Flying,40,45,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgey.png
Pidgeotto,Normal/Flying,63,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeotto.png
Pidgeot,Normal/Flying,83,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot.png
Pidgeot Mega Pidgeot,Normal/Flying,83,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot-mega.png
Rattata,Normal,30,56,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata.png
Rattata Alolan Rattata,Dark/Normal,30,56,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata-alolan.png
Raticate,Normal,55,81,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate.png
Raticate Alolan Raticate,Dark/Normal,75,71,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate-alolan.png
Spearow,Normal/Flying,40,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/spearow.png
Fearow,Normal/Flying,65,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/fearow.png
Ekans,Poison,35,60,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/ekans.png
Arbok,Poison,60,95,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/arbok.png
Pikachu,Electric,35,55,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu.png
Pikachu Partner Pikachu,Electric,45,80,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu-lets-go.png
Raichu,Electric,60,90,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu.png
Raichu Alolan Raichu,Electric/Psychic,60,85,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu-alolan.png
Sandshrew,Ground,50,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew.png
Sandshrew Alolan Sandshrew,Ice/Steel,50,75,https:https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew-alolan.png
